Product ID,Product Name,Product Category,Unit Price
FU_83,Global Adaptabilities Conference Tables,Furniture,280.98
OF_225,Xerox 1885,Office Supplies,48.04
OF_226,Avery 479,Office Supplies,2.61
OF_227,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,8.04
FU_84,Eldon Pizzaz Desk Accessories,Furniture,2.23
TE_93,Talkabout T8367,Technology,65.99
TE_94,Logitech Access Keyboard,Technology,15.98
OF_228,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Office Supplies,140.85
OF_229,Newell 336,Office Supplies,4.28
OF_230,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Office Supplies,56.96
OF_231,GBC DocuBind P100 Manual Binding Machine,Office Supplies,165.98
OF_232,Avery 497,Office Supplies,3.08
FU_85,SAFCO Folding Chair Trolley,Furniture,128.24
OF_233,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Office Supplies,10.98
TE_95,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Technology,29.89
TE_96,Keytronic Designer 104- Key Black Keyboard,Technology,40.48
OF_234,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,180.98
OF_235,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Office Supplies,3.81
OF_236,Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,22.99
OF_237,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Office Supplies,11.66
OF_238,Martin-Yale Premier Letter Opener,Office Supplies,12.88
OF_239,Recycled Premium Regency Composition Covers,Office Supplies,15.28
FU_86,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,300.98
TE_97,i1000,Technology,65.99
OF_240,Fellowes Super Stor/Drawer®,Office Supplies,27.75
FU_87,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,110.98
OF_241,*Staples* Letter Opener,Office Supplies,2.18
TE_98,LX 677,Technology,110.99
OF_242,Avery Hi-Liter® Fluorescent Desk Style Markers,Office Supplies,3.38
OF_243,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,8.74
OF_244,Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,2.78
OF_245,Newell 342,Office Supplies,3.28
OF_246,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Office Supplies,9.78
OF_247,Newell 337,Office Supplies,3.28
TE_99,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Technology,83.1
FU_88,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,90.98
OF_248,Xerox 1985,Office Supplies,6.48
TE_100,Zoom V.92 V.44 PCI Internal Controllerless FaxModem,Technology,39.99
OF_249,"Tennsco Lockers, Sand",Office Supplies,20.98
OF_250,Xerox 1920,Office Supplies,5.98
OF_251,Xerox 1928,Office Supplies,5.28
OF_252,Xerox 1939,Office Supplies,18.97
TE_101,StarTAC 7760,Technology,65.99
FU_89,Magna Visual Magnetic Picture Hangers,Furniture,4.82
TE_102,M3682,Technology,125.99
OF_253,Xerox 1978,Office Supplies,5.78
OF_254,"Wirebound Message Book, 4 per Page",Office Supplies,5.43
OF_255,Hoover WindTunnel Plus Canister Vacuum,Office Supplies,363.25
TE_103,Zoom V.92 USB External Faxmodem,Technology,49.99
OF_256,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,40.98
FU_90,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Furniture,10.64
OF_257,Xerox 1992,Office Supplies,5.98
TE_104,TI 36X Solar Scientific Calculator,Technology,23.99
TE_105,V 3600 Series,Technology,65.99
FU_91,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Furniture,51.65
FU_92,Bretford CR4500 Series Slim Rectangular Table,Furniture,348.21
FU_93,Hon 5100 Series Wood Tables,Furniture,290.98
TE_106,Belkin ErgoBoard Keyboard,Technology,30.98
OF_258,Riverleaf Stik-Withit® Designer Note Cubes®,Office Supplies,10.06
FU_94,Coloredge Poster Frame,Furniture,14.2
TE_107,Sharp 1540cs Digital Laser Copier,Technology,549.99
OF_259,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,68.81
OF_260,Wilson Jones Impact Binders,Office Supplies,5.18
OF_261,GBC DocuBind 200 Manual Binding Machine,Office Supplies,420.98
FU_95,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,29.18
OF_262,Sanford Liquid Accent Highlighters,Office Supplies,6.68
OF_263,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Office Supplies,225.04
FU_96,Hon iLevel Computer Training Table,Furniture,31.76
FU_97,"Eldon® 200 Class Desk Accessories, Burgundy",Furniture,6.28
FU_98,3M Hangers With Command Adhesive,Furniture,3.7
OF_264,X-Rack File for Hanging Folders,Office Supplies,11.29
TE_108,688,Technology,195.99
OF_265,Ibico EB-19 Dual Function Manual Binding System,Office Supplies,172.99
OF_266,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,19.98
FU_99,Safco Contoured Stacking Chairs,Furniture,238.4
TE_109,Canon PC-428 Personal Copier,Technology,199.99
OF_267,Staples Standard Envelopes,Office Supplies,5.68
TE_110,Lexmark Z55se Color Inkjet Printer,Technology,90.97
OF_268,Binder Clips by OIC,Office Supplies,1.48
OF_269,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",Office Supplies,60.22
OF_270,Wausau Papers Astrobrights® Colored Envelopes,Office Supplies,5.98
OF_271,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,4.91
TE_111,Canon imageCLASS 2200 Advanced Copier,Technology,3499.99
FU_100,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,550.98
TE_112,KF 788,Technology,45.99
TE_113,"Imation Neon Mac Format Diskettes, 10/Pack",Technology,8.12
TE_114,2180,Technology,175.99
FU_101,"Executive Impressions 14"" Contract Wall Clock",Furniture,22.23
OF_272,*Staples* Highlighting Markers,Office Supplies,4.84
OF_273,Boston 19500 Mighty Mite Electric Pencil Sharpener,Office Supplies,20.15
OF_274,Xerox 1995,Office Supplies,6.48
OF_275,Self-Adhesive Ring Binder Labels,Office Supplies,3.52
OF_276,Catalog Binders with Expanding Posts,Office Supplies,67.28
OF_277,*Staples* Packaging Labels,Office Supplies,2.89
FU_102,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,41.32
OF_278,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,8.95
FU_103,9-3/4 Diameter Round Wall Clock,Furniture,13.79
TE_115,Logitech Cordless Elite Duo,Technology,100.98
OF_279,Xerox 220,Office Supplies,6.48
TE_116,Canon Image Class D660 Copier,Technology,599.99
OF_280,Avery Legal 4-Ring Binder,Office Supplies,20.98
OF_281,Hoover® Commercial Lightweight Upright Vacuum,Office Supplies,3.48
OF_282,Colored Envelopes,Office Supplies,3.69
OF_283,Xerox 1953,Office Supplies,4.28
FU_104,DAX Natural Wood-Tone Poster Frame,Furniture,26.48
FU_105,Office Star Flex Back Scooter Chair with White Frame,Furniture,110.98
OF_284,Xerox 1941,Office Supplies,104.85
FU_106,DAX Clear Channel Poster Frame,Furniture,14.58
FU_107,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,45.98
TE_117,Belkin 105-Key Black Keyboard,Technology,19.98
OF_285,GBC Imprintable Covers,Office Supplies,10.98
OF_286,"GBC Laser Imprintable Binding System Covers, Desert Sand",Office Supplies,14.27
TE_118,"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",Technology,9.49
FU_108,"Executive Impressions 14""",Furniture,22.23
TE_119,Accessory2,Technology,55.99
OF_287,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,8.34
FU_109,"Eldon® 400 Class Desk Accessories, Black Carbon",Furniture,8.75
OF_288,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,7.98
FU_110,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,Furniture,417.4
OF_289,"Array® Parchment Paper, Assorted Colors",Office Supplies,7.28
OF_290,Avery Durable Poly Binders,Office Supplies,5.53
FU_111,Dana Swing-Arm Lamps,Furniture,10.68
TE_120,270c,Technology,125.99
TE_121,T28 WORLD,Technology,195.99
OF_291,Staples Premium Bright 1-Part Blank Computer Paper,Office Supplies,12.28
FU_112,"Hon Metal Bookcases, Black",Furniture,70.98
OF_292,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,210.55
TE_122,Accessory17,Technology,35.99
OF_293,Xerox 1898,Office Supplies,6.68
FU_113,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,85.29
OF_294,ACCOHIDE® Binder by Acco,Office Supplies,4.13
FU_114,Eldon Executive Woodline II Cherry Finish Desk Accessories,Furniture,40.89
OF_295,Belkin 8 Outlet Surge Protector,Office Supplies,40.98
OF_296,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Office Supplies,14.81
OF_297,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,37.94
OF_298,Fellowes Super Stor/Drawer® Files,Office Supplies,161.55
TE_123,Logitech Cordless Navigator Duo,Technology,80.98
TE_124,Sharp EL500L Fraction Calculator,Technology,13.99
OF_299,White GlueTop Scratch Pads,Office Supplies,15.04
OF_300,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",Office Supplies,4.37
OF_301,Cardinal Holdit Business Card Pockets,Office Supplies,4.98
TE_125,T193,Technology,65.99
OF_302,Tennsco Commercial Shelving,Office Supplies,20.34
FU_115,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,100.89
TE_126,Accessory13,Technology,35.99
OF_303,Xerox 1976,Office Supplies,6.48
FU_116,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,280.98
OF_304,Hammermill Color Copier Paper (28Lb. and 96 Bright),Office Supplies,9.99
OF_305,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,3.14
FU_117,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,99.23
OF_306,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Office Supplies,8.01
OF_307,Xerox 1989,Office Supplies,4.98
FU_118,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,100.98
FU_119,Nu-Dell Leatherette Frames,Furniture,14.34
OF_308,Xerox 1994,Office Supplies,6.48
OF_309,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,9.11
TE_127,CF 688,Technology,155.99
OF_310,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Office Supplies,34.58
TE_128,3285,Technology,205.99
FU_120,Office Star - Task Chair with Contemporary Loop Arms,Furniture,90.98
OF_311,Acco Perma® 3000 Stacking Storage Drawers,Office Supplies,20.98
TE_129,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Technology,40.98
OF_312,Eldon® Gobal File Keepers,Office Supplies,15.14
OF_313,Kensington 7 Outlet MasterPiece® HOMEOFFICE Power Control Center,Office Supplies,131.12
FU_121,"Seth Thomas 13 1/2"" Wall Clock",Furniture,17.78
FU_122,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,70.71
FU_123,Bretford Rectangular Conference Table Tops,Furniture,376.13
OF_314,Wirebound Voice Message Log Book,Office Supplies,4.76
FU_124,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,180.98
FU_125,Novimex Swivel Fabric Task Chair,Furniture,150.98
TE_130,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Technology,4.77
OF_315,Project Tote Personal File,Office Supplies,14.03
TE_131,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Technology,7.28
OF_316,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,2.88
OF_317,Xerox 1899,Office Supplies,5.78
TE_132,"Imation IBM Formatted Diskettes, 100/Pack",Technology,28.48
OF_318,Barrel Sharpener,Office Supplies,3.57
OF_319,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,52.99
TE_133,Accessory34,Technology,85.99
TE_134,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Technology,66.99
OF_320,Wilson Jones® Four-Pocket Poly Binders,Office Supplies,6.54
OF_321,Economy Binders,Office Supplies,2.08
FU_126,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,160.98
OF_322,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,Office Supplies,15.31
OF_323,Newell 315,Office Supplies,5.98
OF_324,Kleencut® Forged Office Shears by Acme United Corporation,Office Supplies,2.08
OF_325,Xerox 1983,Office Supplies,5.98
TE_135,T61,Technology,45.99
OF_326,Xerox 196,Office Supplies,5.78
OF_327,Eldon Simplefile® Box Office®,Office Supplies,12.44
TE_136,6190,Technology,65.99
TE_137,Panasonic KX-P3200 Dot Matrix Printer,Technology,297.64
OF_328,Ibico Recycled Linen-Style Covers,Office Supplies,39.06
TE_138,1726 Digital Answering Machine,Technology,20.99
FU_127,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Furniture,10.4
TE_139,Belkin MediaBoard 104- Keyboard,Technology,27.48
FU_128,"Executive Impressions 12"" Wall Clock",Furniture,17.67
TE_140,6185,Technology,205.99
OF_329,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",Office Supplies,3.34
OF_330,Xerox 1993,Office Supplies,6.48
OF_331,"Strathmore #10 Envelopes, Ultimate White",Office Supplies,52.71
OF_332,Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,41.71
OF_333,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Office Supplies,60.98
TE_141,Accessory20,Technology,85.99
TE_142,5165,Technology,175.99
TE_143,Lexmark Z54se Color Inkjet Printer,Technology,90.97
OF_334,"Premier Elliptical Ring Binder, Black",Office Supplies,30.44
OF_335,Avery 520,Office Supplies,3.15
OF_336,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,48.92
OF_337,Xerox 226,Office Supplies,6.48
OF_338,Sanford 52201 APSCO Electric Pencil Sharpener,Office Supplies,40.97
FU_129,Laminate Occasional Tables,Furniture,154.13
OF_339,Round Ring Binders,Office Supplies,2.08
OF_340,DIXON Oriole® Pencils,Office Supplies,2.58
OF_341,Avery Durable Binders,Office Supplies,2.88
OF_342,"Super Bands, 12/Pack",Office Supplies,1.86
TE_144,iDEN i95,Technology,65.99
TE_145,"Memorex 4.7GB DVD+R, 3/Pack",Technology,15.28
FU_130,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,30.93
FU_131,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,51.94
FU_132,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,Furniture,78.69
FU_133,"Seth Thomas 12"" Clock w/ Goldtone Case",Furniture,22.98
FU_134,Bevis Round Conference Room Tables and Bases,Furniture,179.29
OF_343,#10 Self-Seal White Envelopes,Office Supplies,11.09
OF_344,"Advantus Push Pins, Aluminum Head",Office Supplies,5.81
OF_345,"Staples Vinyl Coated Paper Clips, 800/Box",Office Supplies,7.89
OF_346,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Office Supplies,16.91
TE_146,7160,Technology,140.99
TE_147,StarTAC 6500,Technology,125.99
FU_135,Eldon Advantage® Chair Mats for Low to Medium Pile Carpets,Furniture,43.31
TE_148,SC7868i,Technology,125.99
OF_347,HP Office Recycled Paper (20Lb. and 87 Bright),Office Supplies,5.78
TE_149,Logitech Internet Navigator Keyboard,Technology,30.98
FU_136,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,130.98
OF_348,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,27.18
TE_150,Keytronic 105-Key Spanish Keyboard,Technology,73.98
TE_151,Motorola SB4200 Cable Modem,Technology,179.99
OF_349,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,35.89
OF_350,Strathmore Photo Mount Cards,Office Supplies,6.78
OF_351,"GBC White Gloss Covers, Plain Front",Office Supplies,14.48
OF_352,"Eureka Hand Vacuum, Bagless",Office Supplies,49.43
OF_353,Airmail Envelopes,Office Supplies,83.93
TE_152,Keytronic French Keyboard,Technology,73.98
OF_354,Newell 314,Office Supplies,5.58
OF_355,Xerox 1919,Office Supplies,40.99
TE_153,Accessory27,Technology,35.99
OF_356,Berol Giant Pencil Sharpener,Office Supplies,16.99
OF_357,Xerox 227,Office Supplies,6.48
OF_358,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,6.98
OF_359,Xerox 1962,Office Supplies,4.28
TE_154,636,Technology,115.99
FU_137,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,284.98
OF_360,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,1.8
OF_361,Avery White Multi-Purpose Labels,Office Supplies,4.98
TE_155,Accessory25,Technology,20.99
OF_362,Xerox 199,Office Supplies,4.28
FU_138,Bush Advantage Collection® Racetrack Conference Table,Furniture,424.21
FU_139,Hon Comfortask® Task/Swivel Chairs,Furniture,113.98
OF_363,Xerox 1938,Office Supplies,47.9
OF_364,Rediform S.O.S. Phone Message Books,Office Supplies,4.98
TE_156,StarTAC 3000,Technology,125.99
TE_157,Adesso Programmable 142-Key Keyboard,Technology,152.48
OF_365,Ampad #10 Peel & Seel® Holiday Envelopes,Office Supplies,4.48
TE_158,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Technology,17.98
TE_159,5185,Technology,115.99
TE_160,Maxell DVD-RAM Discs,Technology,16.48
